id,title,start,end,description,location
187987-events@www.truman.edu,Nacho Day,2025-11-06T12:00:00-06:00,2025-11-06T14:00:00-06:00,Join us for free nachos in the SUB Hub! We appreciate YOU!,SUB Hub
187303-events@www.truman.edu,Michelle Yoder Senior Voice Recital,2025-11-09T16:00:00-06:00,2025-11-09T17:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187891-events@www.truman.edu,SAB Paper Pals,2025-11-10T10:00:00-06:00,2025-11-10T14:00:00-06:00,,SUB Hub
186447-events@www.truman.edu,Percussion Ensemble Fall Concert,2025-11-10T19:30:00-06:00,2025-11-10T21:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187942-events@www.truman.edu,Uncommon Practice Fall Concert,2025-11-11T19:30:00-06:00,2025-11-11T20:30:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187853-events@www.truman.edu,“Nonfiction Writing and the Weather”,2025-11-12T17:00:00-06:00,2025-11-12T18:00:00-06:00,"Visiting Ofstad Scholar Steffan Triplett will read work from his hybrid memoir, Bad Forecast, and suggest new ways of thinking and crafting through the nonfiction writing process, using examples of climate from other diverse, contemporary nonfiction writers.",Baldwin 176 (Little Theater)
187631-events@www.truman.edu,“Nonfiction Writing and the Weather”,2025-11-12T17:00:00-06:00,2025-11-12T18:00:00-06:00,"Visiting Ofstad Scholar Steffan Triplett will read work from his hybrid memoir, Bad Forecast, and suggest new ways of thinking and crafting through the nonfiction writing process, using examples of climate from other diverse, contemporary nonfiction writers.",Baldwin 176 (Little Theater)
187307-events@www.truman.edu,Cardinal Key Interest Night,2025-11-12T19:00:00-06:00,2025-11-12T20:30:00-06:00,,SUB Alumni Room
185338-events@www.truman.edu,Subs in the Hub,2025-11-13T11:00:00-06:00,2025-11-13T14:00:00-06:00,Join us for free sandwiches and chips in the SUB Hub at 11am!,SUB Hub
187440-events@www.truman.edu,Chloe Armentrout Clarinet Recital,2025-11-13T18:00:00-06:00,2025-11-13T19:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187265-events@www.truman.edu,“Cabaret”,2025-11-13T19:30:00-06:00,2025-11-13T00:00:00-06:00,,James G. Severns Theatre
187442-events@www.truman.edu,Double Reed Recital,2025-11-14T18:00:00-06:00,2025-11-14T19:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187267-events@www.truman.edu,“Cabaret”,2025-11-14T19:30:00-06:00,2025-11-14T00:00:00-06:00,,James G. Severns Theatre
187860-events@www.truman.edu,35th Undergraduate Philosophy & Religion Conference,2025-11-15T09:00:00-06:00,2025-11-15T17:00:00-06:00,,Baldwin Hall 114
187858-events@www.truman.edu,KC Alumni Chapter – Volunteering with Harvesters,2025-11-15T10:30:00-06:00,2025-11-15T12:30:00-06:00,,
187305-events@www.truman.edu,Frank Ponder and Nathan Waggoner Senior Trombone Recital,2025-11-15T14:00:00-06:00,2025-11-15T15:30:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187438-events@www.truman.edu,Aidan Spurgeon Senior Voice Recital,2025-11-15T16:00:00-06:00,2025-11-15T17:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187269-events@www.truman.edu,“Cabaret”,2025-11-15T19:30:00-06:00,2025-11-15T00:00:00-06:00,,James G. Severns Theatre
186850-events@www.truman.edu,Truman State Symphony Orchestra Concert,2025-11-15T19:30:00-06:00,2025-11-15T21:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
186449-events@www.truman.edu,Truman Clarinet Choir Fall Concert,2025-11-16T12:00:00-06:00,2025-11-16T13:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187271-events@www.truman.edu,“Cabaret”,2025-11-16T14:00:00-06:00,2025-11-16T00:00:00-06:00,,James G. Severns Theatre
186772-events@www.truman.edu,Faculty Trio Recital,2025-11-16T16:00:00-06:00,2025-11-16T17:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
186764-events@www.truman.edu,Wind Symphony I and Honor Band,2025-11-17T18:00:00-06:00,2025-11-17T19:30:00-06:00,Please click on the title for additional information.,Baldwin Hall Auditorium
187782-events@www.truman.edu,Voice Studios Recital,2025-11-17T20:00:00-06:00,2025-11-17T21:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
186766-events@www.truman.edu,Jazz Bands Concert,2025-11-18T19:30:00-06:00,2025-11-18T21:00:00-06:00,Please click on the title for additional information.,Baldwin Hall Auditorium
187154-events@www.truman.edu,AAUP Chapter Meeting,2025-11-19T15:30:00-06:00,2025-11-19T17:00:00-06:00,,Baldwin Hall 100
